area,building,direction,elevator,floor,garden,heating,_id,layout,region,renovation,stairway,structure,totalPrice,type,unitPrice,usage,year
102.0,板塔结合,南,有,高楼层 (共32层),城南,集中供暖,101117682967,3室1厅1厨2卫,雁塔,其他,两梯四户,钢混结构,215.0,平层,21079.0,普通住宅,
96.0,板塔结合,南,,高楼层 (共27层),浐灞周边,集中供暖,101117682997,2室1厅1厨1卫,灞桥,精装,一梯四户,钢混结构,130.0,,13542.0,普通住宅,
78.8,板楼,南,有,低楼层 (共34层),雁南,集中供暖,101117683016,2室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,160.0,,20305.0,普通住宅,
142.0,板塔结合,南,有,高楼层 (共33层),经开南,集中供暖,101117683023,3室1厅1厨2卫,未央,其他,两梯四户,钢混结构,270.0,平层,19015.0,普通住宅,
137.54,板楼,南 北,有,低楼层 (共12层),经开北,集中供暖,101117683033,4室2厅1厨2卫,未央,其他,两梯两户,钢混结构,240.0,,17450.0,普通住宅,满两年
130.3,塔楼,南,有,高楼层 (共26层),城东,集中供暖,101117683038,3室2厅1厨1卫,新城区,简装,两梯六户,钢混结构,144.0,,11052.0,普通住宅,
143.0,板塔结合,南 北,有,中楼层 (共17层),国际港务区,集中供暖,101117683047,4室2厅1厨2卫,灞桥,其他,两梯两户,钢混结构,378.0,,26434.0,普通住宅,
124.0,板塔结合,南 北,有,高楼层 (共30层),城西,集中供暖,101117683049,3室2厅1厨2卫,雁塔,其他,两梯四户,钢混结构,245.0,,19759.0,普通住宅,
97.18,板塔结合,南,有,高楼层 (共33层),城西,集中供暖,101117683051,3室2厅1厨1卫,雁塔,精装,两梯四户,钢混结构,196.0,,20169.0,普通住宅,未满两年
115.76,板塔结合,南 北,,中楼层 (共20层),浐灞周边,集中供暖,101117683054,3室2厅1厨2卫,灞桥,其他,一梯四户,钢混结构,160.0,平层,13822.0,普通住宅,
109.06,板楼,南,有,中楼层 (共19层),城北,集中供暖,101117683069,3室1厅1厨1卫,新城区,其他,两梯四户,钢混结构,120.0,平层,11004.0,普通住宅,
143.0,板塔结合,南 北,有,低楼层 (共17层),国际港务区,集中供暖,101117683085,4室2厅1厨2卫,灞桥,其他,两梯两户,钢混结构,328.0,,22938.0,普通住宅,
49.3,板塔结合,北,有,高楼层 (共34层),经开北,集中供暖,101117682333,1室1厅1厨1卫,未央,精装,三梯八户,钢混结构,80.0,,16228.0,普通住宅,
89.72,板塔结合,南,有,中楼层 (共36层),世博园,集中供暖,101117682359,2室2厅1厨1卫,灞桥,其他,两梯四户,钢混结构,158.0,,17611.0,普通住宅,
89.0,板楼,南,有,高楼层 (共33层),雁鸣湖,集中供暖,101117682379,2室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,145.0,平层,16293.0,普通住宅,
61.86,板楼,南 北,有,中楼层 (共14层),城南,集中供暖,101117682384,2室2厅1厨2卫,雁塔,毛坯,两梯十一户,钢混结构,70.0,,11316.0,商住两用,满五年
90.13,板楼,南,有,中楼层 (共33层),鱼化寨,集中供暖,101117682403,3室1厅1厨1卫,雁塔,精装,两梯三户,钢混结构,252.0,,27960.0,普通住宅,
92.17,板塔结合,西南,有,低楼层 (共33层),纺织城,集中供暖,101117682411,2室2厅1厨1卫,灞桥,简装,三梯八户,钢混结构,123.0,,13345.0,普通住宅,满两年
89.54,板楼,南,有,高楼层 (共34层),曲江,自供暖,101117682413,2室2厅1厨1卫,雁塔,精装,两梯四户,钢混结构,280.0,,31271.0,普通住宅,满两年
117.0,板塔结合,南 北,有,高楼层 (共34层),经开北,集中供暖,101117682426,3室1厅1厨1卫,未央,其他,两梯四户,钢混结构,215.0,平层,18377.0,普通住宅,满两年
53.0,板楼,南,有,中楼层 (共11层),经开北,集中供暖,101117682467,1室1厅1厨1卫,未央,其他,一梯八户,框架结构,92.0,,17359.0,普通住宅,
131.54,板塔结合,北 南,有,低楼层 (共34层),经开北,集中供暖,101117682468,3室2厅1厨2卫,未央,其他,两梯三户,钢混结构,246.0,平层,18702.0,普通住宅,满五年
90.24,板楼,南,有,高楼层 (共34层),曲江,集中供暖,101117682474,3室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,195.0,平层,21610.0,普通住宅,
95.0,板塔结合,南,有,中楼层 (共33层),经开北,集中供暖,101117682501,3室1厅1厨1卫,未央,其他,两梯四户,钢混结构,165.0,,17369.0,普通住宅,
126.05,板楼,南 北,有,低楼层 (共18层),安装四处,集中供暖,101117682545,3室1厅1厨1卫,灞桥,其他,两梯四户,钢混结构,200.0,平层,15867.0,普通住宅,未满两年
52.0,板塔结合,东,有,高楼层 (共32层),城西,集中供暖,101117682590,1室1厅1厨1卫,未央,其他,四梯十一户,钢混结构,55.0,,10577.0,普通住宅,
144.97,板楼,南 北,无,高楼层 (共5层),高陵,集中供暖,101117682612,4室1厅1厨2卫,高陵,毛坯,一梯两户,钢混结构,72.0,平层,4967.0,普通住宅,满五年
87.0,板塔结合,西,有,高楼层 (共33层),纺织城,集中供暖,101117682622,2室1厅1厨1卫,灞桥,简装,三梯八户,钢混结构,120.0,,13794.0,普通住宅,
81.37,板塔结合,南,有,低楼层 (共33层),西咸,集中供暖,101117681401,2室1厅1厨1卫,未央,简装,两梯四户,钢混结构,133.0,,16346.0,普通住宅,满两年
119.0,板塔结合,南 北,有,低楼层 (共28层),西咸,集中供暖,101117681416,3室2厅1厨2卫,未央,其他,两梯六户,钢混结构,180.0,,15127.0,普通住宅,
82.77,板楼,南 北,,高楼层 (共6层),城南,集中供暖,101117681417,2室1厅1厨1卫,雁塔,其他,一梯两户,混合结构,85.0,,10270.0,普通住宅,
63.71,板楼,南 北,无,中楼层 (共7层),经开南,集中供暖,101117681442,2室1厅1厨1卫,未央,其他,一梯三户,混合结构,80.0,,12557.0,普通住宅,
105.25,,南 北,,低楼层 (共29层),雁鸣湖,集中供暖,101117681471,3室2厅1厨1卫,灞桥,其他,一梯四户,钢混结构,200.0,,19003.0,普通住宅,
108.0,板楼,南 北,有,中楼层 (共33层),经开南,集中供暖,101117681519,3室2厅1厨1卫,未央,其他,三梯八户,钢混结构,135.0,,12500.0,普通住宅,
